score,decision,empresa_existent,empresa_nova,municipi_existent,municipi_nou,senyals
0.600,PENDENT,CELLER CAL SERRADOR S.L,"Celler Serra, SL",,Ascó,"""{\""nom_similar\"":true,\""score\"":0.600000023841858,\""existent\"":\""CELLER CAL SERRADOR S.L\"",\""nou\"":\""Celler Serra, SL\"",\""mateixa_poblacio\"":false}"""
0.600,PENDENT,J. GARCIA CARRION SA,GARCIA CARRION 1890 LS,Madrid,,"""{\""nom_similar\"":true,\""score\"":0.600000023841858,\""existent\"":\""J. GARCIA CARRION SA\"",\""nou\"":\""GARCIA CARRION 1890 LS\"",\""mateixa_poblacio\"":false}"""
0.600,PENDENT,MONTSERRAT DURAN ESTEVE,"Montserrat Esteve, Pedro",,Sant Sadurní d'Anoia,"""{\""nom_similar\"":true,\""score\"":0.600000023841858,\""existent\"":\""MONTSERRAT DURAN ESTEVE\"",\""nou\"":\""Montserrat Esteve, Pedro\"",\""mateixa_poblacio\"":false}"""
0.593,PENDENT,ANTONIO GARRIDO ROMAN,ANTONIO GARRIDO URRA,,,"""{\""nom_similar\"":true,\""score\"":0.592592597007751,\""existent\"":\""ANTONIO GARRIDO ROMAN\"",\""nou\"":\""ANTONIO GARRIDO URRA\"",\""mateixa_poblacio\"":false}"""
0.588,PENDENT,Castell d'Age,Castell d'Or,La Beguda Baixa,Vila-rodona,"""{\""nom_similar\"":true,\""score\"":0.588235318660736,\""existent\"":\""Castell d'Age\"",\""nou\"":\""Castell d'Or\"",\""mateixa_poblacio\"":false}"""
0.585,PENDENT,"Cooperativa Agrícola de Barberà, SCCL","Cooperativa Agrícola de l’Argilaga, SCCL",Barberà de la Conca,La Secuita,"""{\""nom_similar\"":true,\""score\"":0.585365831851959,\""existent\"":\""Cooperativa Agrícola de Barberà, SCCL\"",\""nou\"":\""Cooperativa Agrícola de l’Argilaga, SCCL\"",\""mateixa_poblacio\"":false}"""
0.585,PENDENT,CELLERS DE L'ARBOÇ I SECCIO CREDIT SCCL,CELLERS DOMENYS I SECCIO CREDIT SCCL,L'Arboç,,"""{\""nom_similar\"":true,\""score\"":0.585365831851959,\""existent\"":\""CELLERS DE L'ARBOÇ I SECCIO CREDIT SCCL\"",\""nou\"":\""CELLERS DOMENYS I SECCIO CREDIT SCCL\"",\""mateixa_poblacio\"":false}"""
0.583,PENDENT,SCS. DE F. MASENS S.A,S.C.S. Masens,,,"""{\""nom_similar\"":true,\""score\"":0.583333313465118,\""existent\"":\""SCS. DE F. MASENS S.A\"",\""nou\"":\""S.C.S. Masens\"",\""mateixa_poblacio\"":false}"""
0.579,PENDENT,VENTAS COMPTAT,VENDES COMPTAT,,,"""{\""nom_similar\"":true,\""score\"":0.578947365283966,\""existent\"":\""VENTAS COMPTAT\"",\""nou\"":\""VENDES COMPTAT\"",\""mateixa_poblacio\"":false}"""
0.571,PENDENT,Llopart,Llopart Güell,Els Casots - Subirats,Guardiola de Font-Rubí,"""{\""nom_similar\"":true,\""score\"":0.571428596973419,\""existent\"":\""Llopart\"",\""nou\"":\""Llopart Güell\"",\""mateixa_poblacio\"":false}"""
